SKT T1 K,korea,Korea,1,SKT K,,SK Telecom T1 K,
KT Bullets,korea,Korea,1,KT B,,KT Rolster Bullets,
KT Arrows,korea,Korea,1,KT A,,KT Rolster Arrows,
C,na,NA,1,Coast,Coast,Team Coast,
XDG,na,NA,1,XDG,,XDG Gaming,
SG Ozone,korea,Korea,1,Ozone,,Samsung Galaxy Ozone,
SG Blue,korea,Korea,1,Blue,,Samsung Galaxy Blue,
NJBS,korea,Korea,1,NJBS,NJ Black Sword,NaJin Black Sword,
NJWS,korea,Korea,1,NJWS,NJ White Shield,NaJin White Shield,
yoe.FW,taiwan,SEA,1,yoe FW,,,
IM 1,korea,Korea,1,IM #1,,Incredible Miracle 1,
AW Arena,korea,Korea,1,AW A,Alienware Arena,Alienware Arena,
Falcons,korea,Korea,1,,Jin Air Falcons,Jin Air Green Wings Falcons,
Stealths,korea,Korea,1,,Jin Air Stealths,Jin Air Green Wings Stealths,
LD,eu,EU,1,,,Lemondogs,
ROCCAT,eu,EU,1,,,,
M,korea,Korea,1,,Millenium,Millenium,
CJ Frost,korea,Korea,1,Frost,,CJ Entus Frost,
CJ Blaze,korea,Korea,1,Blaze,,CJ Entus Blaze,
WE,china,China,1,WE, World Elite,World Elite,
Gambit,russia,EU,1,Gambit,,Gambit Gaming,
C9,na,NA,1,,Cloud 9,Cloud 9,
OMG,china,China,1,,,OMG.DouYuTV,
EDG,china,China,1,,,Edward Gaming,
SKT T1 S,korea,Korea,1,SKT S,,SK Telecom T1 S,
ahq,taiwan,SEA,1,,,ahq e-Sports Club,
TSM,na,NA,1,,,Team SoloMid,
TPS,taiwan,SEA,1,,Taipei Snipers,Taipei Snipers,
Fnatic,eu,EU,1,,,,
TPA,taiwan,SEA,1,,Taipei Assasins,Taipei Assasins,
A,eu,EU,1,,Alliance,Alliance,
WE Acad,china,China,1,WE A,WE Academy,World Elite Academy,
ROCCAT,poland,EU,1,,,,
SK,eu,EU,1,, SK Gaming,SK Gaming,
Stealths,korea,Korea,1,,Jin Air Stealths,Jin Air Green Wings Stealths,
iSE,singapore,SEA,1,,,Insidious Gaming Exile,
OLYMPUS,korea,Korea,1,,,Team OLYMPUS,
CW,eu,EU,1,,CW,Copenhagen Wolves,
iG,china,China,1,,iG,Invictus Gaming,
IM 1,korea,Korea,1,IM #1,IM #1,Incredible Miracle 1,
CLG,na,NA,1,,,Counter Logic Gaming,
Must Study Hard,korea,Korea,1,MSH,,,
KT A,korea,Korea,0,,,KT Rolster A,
Dark,korea,Korea,0,,Team Dark,Team Dark,
CTU,korea,Korea,0,,,Chunnam Techno University,
yoe.FW,taiwan,SEA,1,yoe FW,,yoe FlashWolves,
HKA,hongkong,SEA,1,,HK Attitude,HK Attitude,
IM 2,korea,Korea,1,IM #2,IM #2,Incredible Miracle 2,
LGD,china,China,1,,,LGD Gaming,
SAJ,vietnam,SEA,1,,Saigon Jokers,Saigon Jokers,
Royal,china,China,1,,Royal Club,Royal Club,
Storm,korea,Korea,1,,Xenics Storm,Xenics Storm,
Team Alienware,korea,Korea,1,,,,
GG.EU,lithuania,EU,0,,,Gaming Gear.eu,
Dongtax,korea,Korea,1,,,,
Blast,korea,Korea,0,,Xenics Blast,Xenics Blast,
Lyon,mexico,I,1,,,Lyon Gaming,
Falcons,korea,Korea,1,,Jin Air Falcons,Jin Air Green Wings Falcons,
Sirius Altair,korea,Korea,1,Sirius,,,
YG,china,China,1,,Young Glory,Young Glory,
SHC,eu,EU,1,,Supa Hot Crew,Supa Hot Crew,
PE,china,China,1,,Positive Energy,Positive Energy,
Mook C,korea,Korea,1,,,,
MiG Blitz,korea,Korea,0,,,,
paiN,brazil,sa,1,,,paiN Gaming,
CGA Ls,hongkong,SEA,1,,,Cyber Games Arena LEGENDs,
TPoS,korea,Korea,0,,,,
Crs,na,NA,1,,Curse,Curse Gaming,
LMQ,china,NA,1,,,,
SGS,vietnam,SEA,1,,Saigon Snipers,Saigon Snipers,
M,eu,EU,1,,Millenium,Millenium,
Prime.O,korea,Korea,1,Prime O,Prime Optimus,Prime Optimus,
twz,na,NA,1,,,The Walking Zed,
n.Die.Guts,korea,Korea,0,,,,
ex-M,eu,EU,0,ex-M,ex-Millenium,ex-Millenium,
TS,na,NA,0,,,Team Summon,
Anexis,eu,EU,0,,,Anexis eSports,
NB,korea,Korea,1,,Team NB,Team NB,
AW Arena,korea,Korea,1,AW A,,Alienware Arena,
EG,na,NA,1,,,Evil Geniuses,
VTG.M,korea,Korea,0,VTG M,VTG Monsters,Virtual Throne Gaming Monsters,
iS,singapore,SEA,1,,,Insidious Gaming,
d,na,NA,1,dig,Dignitas,Team Dignitas,
SiJ,eu,EU,0,,,Samurai in Jeans,
OP,korea,Korea,1,,Team OP,Team OP,
HKA.P,hongkong,SEA,1,HKA P,,HK Attitude Priest,
STO,france,EU,1,,,Salade Tomate Oignon,
Keyd,brazil,sa,1,,Keyd,Keyd Stars,
MiTH FD,thailand,SEA,1,,,MiTH Flashdive,
Prime.S,korea,Korea,1,Prime S,Prime S,Prime Sentinel,
NiP,eu,EU,1,,,Ninjas in Pajamas,
Spero Spera,korea,Korea,0,,,,
God-Sin,korea,Korea,1,,,,
LM,china,China,0,,Team LM,Team LM,
Midas FIO,korea,Korea,1,,,,
MSH,korea,Korea,1,,,,
Gamefy,china,China,1,,,,
COG,na,NA,1,,COGnitive,COGnitive Gaming,
MOOK C,korea,Korea,1,,,,
Wizards,eu,EU,0,,,Wizards e-Sports Club,
TSB,na,NA,0,,,The Salad Bar,
GOL,korea,Korea,0,,,,
KLH,malaysia,SEA,1,,,Kuala Lumpur Hunters,
ISG,argentina,sa,1,,,Isurus Gaming,
Immunity,australia,oc,1,Imm,,Team Immunity,
KaBuM,brazil,sa,1,,KaBuM!,KaBuM e-sports,
RPE,chile,sa,1,,,Royal Paladin eSports,
ESC,germany,EU,1,,,ESC Gaming,
Rampage,japan,SEA,1,Ramp,,,
ANG,peru,sa,1,,,Arenales Net Games,
MYM,poland,EU,1,,,Meet Your Makers,
RED,russia,EU,1,,The RED,The RED,
DP,turkey,EU,1,,,,
CG,hongkong,SEA,0,,,,
VTG.R,korea,Korea,1,VTG R,VTG Raon,Virtual Throne Gaming Raon,
Mook,korea,Korea,1,,,,
Mineski,philippines,SEA,1,,,,
MiG Wicked,korea,Korea,1,,,,
ex-NiP,eu,EU,0,,,ex-Ninjas in Pajamas,
Spider,taiwan,SEA,0,,Wayi Spider,Wayi Spider,
EP.HK,hongkong,China,1,,,Energy Pacemaker.HK,
MRN,na,NA,0,,,Team Marn,
SF5,vietnam,SEA,1,,SF5,Saigon Fantastic 5,
EDP,taiwan,SEA,0,,,e-Sports Dragons Pro,
Full Louis,vietnam,SEA,1,FL,,,
GIANTS!,eu,EU,0,,,,
coL,na,NA,0,,,compLexity,
MYM,eu,EU,1,,,Meet Your Makers,
mouz,poland,EU,1,,mousesports,mousesports,
VES,na,NA,0,,Velocity,Velocity e-sports,
ex-aAa,eu,EU,0,,,against All authority,
aAa,france,EU,1,,,against All authority,
DB,eu,EU,0,,DragonBorns,DragonBorns,
MLE,philippines,SEA,1,,Manila Eagles,Manila Eagles,
CC,china,China,1,,CC Club,CC Club,
WOA,china,China,0,,Wings of Aurora,Wings of Aurora,
BKT,thailand,SEA,1,,Bangkok Titans,Bangkok Titans,
SKT,korea,Korea,1,,SKT T1,,1
SG,korea,Korea,1,,Samsung Galaxy,,1
CJ Entus,korea,Korea,1,CJ,,,1
KT Rolster,korea,Korea,1,KT,,,1
NaJin,korea,Korea,1,,NaJin e-mFire,,1
Jin Air,korea,Korea,1,,Jin Air Greenwings,,1
IMc,korea,Korea,1,IM,IM,Incredible Miracle,1
coL.Black,na,NA,1,coL B,coL Black,compLexity Black,
C9T,na,NA,1,,C9 Tempest,Cloud 9 Tempest,
C9E,eu,EU,1,C9E,C9 Eclipse,Cloud 9 Eclipse,
Denial.EU,eu,EU,1,Denial,Denial,Denial eSports,
Rstars,china,China,0,,RisingStars,RisingStars Gaming,
AG,china,China,0,,All Gamers,,
SoNic,korea,Korea,1,,SoNic,SoNic Mind,
