TPA,ahq,8/29/2013,,0#2,2013 GPL Championship,,,A,,1,,,,,,,,,,
TPS,ahq,2/12/2014,,0#1,GPL Spring 2014,Group Stage,Week 1,A,,2,,,,,,,,,,
yoe.FW,TPA,2/12/2014,,0#1,GPL Spring 2014,Group Stage,Week 1,A,,3,,,,,,,,,,
SAJ,BKT,2/12/2014,,1#0,GPL Spring 2014,Group Stage,Week 1,A,,4,,,,,,,,,,
IPT,iS,2/13/2014,,0#1,GPL Spring 2014,Group Stage,Week 1,A,,5,,,,,,,,,,
SGS,SF5,2/13/2014,,0#1,GPL Spring 2014,Group Stage,Week 1,A,,6,,,,,,,,,,
SAJ,IPT,2/13/2014,,1#0,GPL Spring 2014,Group Stage,Week 1,A,,7,,,,,,,,,,
SF5,MLE,2/13/2014,,1#0,GPL Spring 2014,Group Stage,Week 1,A,,8,,,,,,,,,,
BKT,ahq,2/14/2014,,0#1,GPL Spring 2014,Group Stage,Week 1,A,,9,,,,,,,,,,
TPS,iS,2/14/2014,,1#0,GPL Spring 2014,Group Stage,Week 1,A,,10,,,,,,,,,,
yoe.FW,MLE,2/14/2014,,1#0,GPL Spring 2014,Group Stage,Week 1,A,,11,,,,,,,,,,
Full Louis,SF5,2/19/2014,,0#1,GPL Spring 2014,Group Stage,Week 2,A,,12,,,,,,,,,,
yoe.FW,SGS,2/19/2014,,0#1,GPL Spring 2014,Group Stage,Week 2,A,,13,,,,,,,,,,
TPS,SAJ,2/19/2014,,1#0,GPL Spring 2014,Group Stage,Week 2,A,,14,,,,,,,,,,
IPT,ahq,2/20/2014,,0#1,GPL Spring 2014,Group Stage,Week 2,A,,15,,,,,,,,,,
SF5,TPA,2/20/2014,,0#1,GPL Spring 2014,Group Stage,Week 2,A,,16,,,,,,,,,,
ahq,iS,2/20/2014,,1#0,GPL Spring 2014,Group Stage,Week 2,A,,17,,,,,,,,,,
TPA,MLE,2/20/2014,,1#0,GPL Spring 2014,Group Stage,Week 2,A,,18,,,,,,,,,,
iS,SAJ,2/21/2014,,0#1,GPL Spring 2014,Group Stage,Week 2,A,,19,,,,,,,,,,
BKT,TPS,2/21/2014,,0#1,GPL Spring 2014,Group Stage,Week 2,A,,20,,,,,,,,,,
MLE,SGS,2/21/2014,,0#1,GPL Spring 2014,Group Stage,Week 2,A,,21,,,,,,,,,,
SGS,Full Louis,2/26/2014,,1#0,GPL Spring 2014,Group Stage,Week 3,A,,22,,,,,,,,,,
iS,BKT,2/26/2014,,1#0,GPL Spring 2014,Group Stage,Week 3,A,,23,,,,,,,,,,
ahq,SAJ,2/26/2014,,1#0,GPL Spring 2014,Group Stage,Week 3,A,,24,,,,,,,,,,
MLE,Full Louis,2/26/2014,,1#0,GPL Spring 2014,Group Stage,Week 3,A,,25,,,,,,,,,,
